"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "CSS", "TypeScript JSX", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\RelationModal\RelationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 0, 4, 21, 160
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\RelationModal\SelectExistingPersonModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 170, 0, 0, 0, 0, 1, 14, 185
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\deleteRelation\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 0, 5, 14, 151
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\index.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 3, 20
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\tailwind.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 68, 14, 3, 3654, 1, 26, 18504, 20, 170, 447, 22933
