"filename", "language", "TypeScript JSX", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "JSON", "HTML", "Markdown", "XML", "Properties", "comment", "blank", "total"
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\Header.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 80
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\ListView.tsx", "TypeScript JSX", 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35, 321
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\Pagination.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\PersonUtils.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\ProfileCard.tsx", "TypeScript JSX", 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39, 409
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\SettingsModal.tsx", "TypeScript JSX", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 103
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\TableRow.tsx", "TypeScript JSX", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 140
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\Types.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ListView\usePeople.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 8, 53
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\Loader\LoadingSpinner.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\LoginPage\LoginPage.tsx", "TypeScript JSX", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 136
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\LogoutButton\LogoutButton.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 39
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\Modal\Modal.tsx", "TypeScript JSX", 452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 29, 495
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\NotAuthenticatedScreen\NotAuthenticatedScreen.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\Person\Person.tsx", "TypeScript JSX", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 123
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\RegisterPage\Register.tsx", "TypeScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 140
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\RelationModal\AddPersonModal.tsx", "TypeScript JSX", 454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 31, 498
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\RelationModal\RelationModal.tsx", "TypeScript JSX", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 160
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\RelationModal\SelectExistingPersonModal.tsx", "TypeScript JSX", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 183
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\deleteRelation\Modal.tsx", "TypeScript JSX", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 158
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\index.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\index.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\tailwind.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 3723, 12, 14, -1507, 3, 16883, 20, 26, 1, -4, 44, 77, 19292
